Route,Line from,Line to,ID from,ID to,Distance,Polyline
1,70,70,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
1,70,70,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
1,70,70,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
1,70,70,4,5,210,mdirAufkdRi@AqAW}DCq@W
1,70,70,5,6,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
1,70,2,6,1,500,{gnrAe|kdR
1,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
1,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
1,2,70,6,9,500,oinrAk{kdR
1,70,70,9,10,3400,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@
1,70,70,10,11,150,_pirA{hkdRt@X|EJ
1,70,70,11,12,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
1,70,70,12,13,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
1,70,70,13,14,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
2,70,70,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
2,70,70,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
2,70,70,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
2,70,70,4,5,210,mdirAufkdRi@AqAW}DCq@W
2,70,70,5,6,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
2,70,140,6,3,500,{gnrAe|kdR
2,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
2,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
2,140,70,10,9,500,oinrAk{kdR
2,70,70,9,10,3400,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@
2,70,70,10,11,150,_pirA{hkdRt@X|EJ
2,70,70,11,12,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
2,70,70,12,13,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
2,70,70,13,14,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
3,9,9,1,2,2600,a~brAobndR?O}ABaCVyDh@sA\yA|@uFlEoAx@m@x@k@t@eCfD{BtCaClCoDtCqDpCsA`@kEdA}GtAoGxAcCz@qDx@}AVwFtAwDlAgLlD
3,9,9,2,3,150,ivfrAybldRqFhB
3,9,9,3,4,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
3,9,9,4,5,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
3,9,9,5,6,210,mdirAufkdRi@AqAW}DCq@W
3,9,9,6,7,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
3,9,2,7,1,500,{gnrAe|kdR
3,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
3,2,2,5,6,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
3,2,9,6,10,5000,oinrAk{kdR
3,9,9,10,11,3400,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@Jr@V
3,9,9,11,12,150,_pirA{hkdRv@ZzEH
3,9,9,12,13,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
3,9,9,13,14,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
3,9,9,14,15,160,g_grAg_ldRfEqA~@]
3,9,9,15,16,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
4,9,9,1,2,2600,a~brAobndR?O}ABaCVyDh@sA\yA|@uFlEoAx@m@x@k@t@eCfD{BtCaClCoDtCqDpCsA`@kEdA}GtAoGxAcCz@qDx@}AVwFtAwDlAgLlD
4,9,9,2,3,150,ivfrAybldRqFhB
4,9,9,3,4,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
4,9,9,4,5,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
4,9,9,5,6,210,mdirAufkdRi@AqAW}DCq@W
4,9,9,6,7,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
4,9,140,7,3,500,{gnrAe|kdR
4,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
4,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
4,140,9,10,10,500,oinrAk{kdR
4,9,9,10,11,3400,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@Jr@V
4,9,9,11,12,150,_pirA{hkdRv@ZzEH
4,9,9,12,13,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
4,9,9,13,14,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
4,9,9,14,15,160,g_grAg_ldRfEqA~@]
4,9,9,15,16,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
5,75,75,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
5,75,75,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
5,75,75,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
5,75,75,4,5,3500,kdirAufkdRoIc@aDy@aFaDgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
5,75,2,5,1,500,{gnrAe|kdR
5,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
5,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
5,2,75,6,16,500,oinrAk{kdR
5,75,75,16,17,3500,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@t@V|EL
5,75,75,17,18,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
5,75,75,18,19,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
5,75,75,19,20,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
6,75,75,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
6,75,75,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
6,75,75,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
6,75,75,4,5,3500,kdirAufkdRoIc@aDy@aFaDgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
6,75,140,5,3,500,{gnrAe|kdR
6,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
6,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
6,140,75,10,16,500,oinrAk{kdR
6,75,75,16,17,3500,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@t@V|EL
6,75,75,17,18,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
6,75,75,18,19,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
6,75,75,19,20,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
7,21,21,1,2,5900,qfzqA}`rdRKFrArBn@v@FfAqEbCaFjCoH|DaGbDuB`CcDvBqZ|DkNvB}[dRmKzFg`@`KaKrBsMxLcQzH_IvDgLjE}DxBuJxG_Br@sAk@wHeEyG}DcEX_I\@`C
7,21,21,2,3,2600,a~brA{~mdROaCuCJuG~@iAb@iD`CeF|DmGpImBfCuGtFcDlC{FvA{NbDoFzAoDv@{IrBeErAaK|C
7,21,21,3,4,150,ivfrAybldRqFhB
7,21,21,4,5,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
7,21,21,5,6,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
7,21,21,6,7,210,mdirAufkdRi@AqAW}DCq@W
7,21,21,7,8,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
7,21,2,8,1,1000,{gnrAe|kdR
7,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
7,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
7,2,21,6,23,500,oinrAk{kdR
7,21,21,23,24,3500,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@JhBn@lDBn@H
7,21,21,24,25,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
7,21,21,25,26,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
7,21,21,26,27,160,g_grAg_ldRfEqA~@]
7,21,21,27,28,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
7,21,21,28,29,6500,occrAq|mdRGsEv@IvEGpHc@vBC\^bRhKx@B|CmB|G_FvBoApNwF|DmBvCoAtQiIrJsJ`Ac@xMwChLyChNsDhAg@bJaFvL{GvG{DdFwCvMsBfG}@jLwAlEe@hDyBfBeCh^qRIiAcAiA}@uAJI
8,21,21,1,2,5900,qfzqA}`rdRKFrArBn@v@FfAqEbCaFjCoH|DaGbDuB`CcDvBqZ|DkNvB}[dRmKzFg`@`KaKrBsMxLcQzH_IvDgLjE}DxBuJxG_Br@sAk@wHeEyG}DcEX_I\@`C
8,21,21,2,3,2600,a~brA{~mdROaCuCJuG~@iAb@iD`CeF|DmGpImBfCuGtFcDlC{FvA{NbDoFzAoDv@{IrBeErAaK|C
8,21,21,3,4,150,ivfrAybldRqFhB
8,21,21,4,5,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
8,21,21,5,6,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
8,21,21,6,7,210,mdirAufkdRi@AqAW}DCq@W
8,21,21,7,8,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
8,21,140,8,3,500,{gnrAe|kdR
8,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
8,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
8,140,21,10,23,500,oinrAk{kdR
8,21,21,23,24,3500,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@JhBn@lDBn@H
8,21,21,24,25,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
8,21,21,25,26,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
8,21,21,26,27,160,g_grAg_ldRfEqA~@]
8,21,21,27,28,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
8,21,21,28,29,6500,occrAq|mdRGsEv@IvEGpHc@vBC\^bRhKx@B|CmB|G_FvBoApNwF|DmBvCoAtQiIrJsJ`Ac@xMwChLyChNsDhAg@bJaFvL{GvG{DdFwCvMsBfG}@jLwAlEe@hDyBfBeCh^qRIiAcAiA}@uAJI
9,75,75,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
9,75,75,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
9,75,75,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
9,75,75,4,5,3500,kdirAufkdRoIc@aDy@aFaDgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
9,75,75,5,6,2700,{gnrAe|kdRGCaHfMsAnC]l@kKjQoHpLaIhMyA`DILk@fA{ArB_BbBKLOZ{IhNsHxLo@t@y@x@eAp@{@ZoAX_@dC
9,75,75,6,7,1100,i_qrA_bhdR^eCc@BoABkAEsLiC}JiCy@a@{LoCkD_Au@?
9,75,75,7,8,3100,strrAivhdR@OaLcCgCs@}AMk@MuA_@s@a@[Mm@SqCm@_@El@gAbAsBzEcKj@kA`Ai@Pe@xR}_@Rw@Rc@Lm@Je@lEuDtBqBCy@E]eAmAEK{FyGiTiVcF}F}@n@
9,75,75,8,9,2100,{psrA{tldRl@cAmKaMcAcAgC}CUOQU_BkB}FsGgF}Fm@u@c@_@QGo@Qg@UoUwHoUwHNnC
9,75,75,12,13,2200,ggvrAyxndRCJRHv[hKpMlEd@Rn@PPHf@b@t@~@ZZhLrMl@l@vAdBTPfJxKlM~NFG
9,75,75,13,14,3300,ghsrAooldRGHtD`E|BpC\b@lRfTJDnCxCkHvGURk@j@w@xAk@|@yRt_@_@fAOh@[l@MXaGrLUt@ATFRHP|Bp@T@h@HvJdCXJJBlGlAbB^vBpI
9,75,75,14,15,750,{prrAkmhdRsBoIhHdBdM~ChCn@xCt@bCx@\DdGnAn@JZDnBH
9,75,75,15,16,2600,w`qrAcghdRxAMx@UdAa@r@a@h@a@bEmGDUzNeU|@sA^i@dDcF`@q@xKoQb@k@PObDqFpCiEtFkJbMmU????????????B@
9,75,75,16,17,3500,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@t@V|EL
9,75,75,17,18,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
9,75,75,18,19,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
9,75,75,19,20,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
10,21,21,1,2,5900,qfzqA}`rdRKFrArBn@v@FfAqEbCaFjCoH|DaGbDuB`CcDvBqZ|DkNvB}[dRmKzFg`@`KaKrBsMxLcQzH_IvDgLjE}DxBuJxG_Br@sAk@wHeEyG}DcEX_I\@`C
10,21,21,2,3,2600,a~brA{~mdROaCuCJuG~@iAb@iD`CeF|DmGpImBfCuGtFcDlC{FvA{NbDoFzAoDv@{IrBeErAaK|C
10,21,21,3,4,150,ivfrAybldRqFhB
10,21,21,4,5,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
10,21,21,5,6,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
10,21,21,6,7,210,mdirAufkdRi@AqAW}DCq@W
10,21,21,7,8,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
10,21,21,8,9,2700,{gnrAe|kdRqJ|P}L|S}QvYyDzHsEtFkIlNeGhJkBbCqBvAwBd@i@dC
10,21,21,9,10,1000,i_qrA_bhdRi@B?aCwBK{IaB{GiBkEiAeLyCyG_BCN
10,21,21,10,11,2600,strrAivhdRBKwG_BuGaBoC[wCmAyCq@ygBgb@
10,21,21,11,12,450,y|vrA{djdRDQ}KqCsHwB
10,21,21,12,13,4700,eswrAwmjdReDo@mAjAeC]g@yAC]oR{EwQqEqP_EqEgBcGeEqLoIwK{G_J}EwD}BiJiBd@kEbH_K`Q{UjKgNgHyEw@n@qAa@CmBvAUx@d@pJqCjIuCl@u@BiC^F??
10,21,21,13,14,1600,cezrAy`odRa@Cb@iA~@iCjAaEnBsFjCoJ~DoMlDeMhDaLbBqFr@mCBiA
10,21,21,14,15,1200,ecyrAyxqdRNNnBiGnAoE`BaFmYeBcP_B_BI
10,21,21,15,16,1000,ehzrAutrdR}TcBuSuBY`@]jI
10,21,21,16,17,600,qt{rAaprdRw@dEm@tHdA|B`Lz@\@
10,21,21,17,18,2700,qg{rAizqdRva@jDr_@tCcMpa@qKd^wB|Hc@fC
10,21,21,18,19,4700,aczrAwaodRNr@GdBwA?g@tA}GbJyAtBiAjA{GcE_@\s@Fo@]IS}RxGmAZUX_@K{DhQiCjJdGpB~EnC??tGjFfH~ExC|ArCpBjAnBNrEZhCzCpCbRzMzFnBbQdEvZrH~Ep@
10,21,21,19,20,950,kaxrAatjdRDb@d@E\[d@_@x@M|@Rl@n@VjAd@f@|W|GvH|A
10,21,21,20,21,2400,atvrAycjdRANlIhBvNxDhNdDhRtE`SlEnNlDnZhHdCP
10,21,21,21,22,1000,atrrAqxhdRC^zHhB`InBlIjBfCbAvE~@hEx@fBBND
10,21,21,22,23,2600,w`qrAcghdRpAGpAc@pB_ArBcCnEmHzD}GrGuJzF_JtW}a@jTw_@
10,21,21,23,24,3500,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@JhBn@lDBn@H
10,21,21,24,25,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
10,21,21,25,26,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
10,21,21,26,27,160,g_grAg_ldRfEqA~@]
10,21,21,27,28,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
10,21,21,28,29,6500,occrAq|mdRGsEv@IvEGpHc@vBC\^bRhKx@B|CmB|G_FvBoApNwF|DmBvCoAtQiIrJsJ`Ac@xMwChLyChNsDhAg@bJaFvL{GvG{DdFwCvMsBfG}@jLwAlEe@hDyBfBeCh^qRIiAcAiA}@uAJI
